名詞,,,,,
あき,秋,秋天,,,
あさ,朝,早上;早晨,,,
あさごはん,朝ご飯,早飯;早餐,,,
あさって,,後天,,,
あし,足,腳,,,
あした,明日,明天,,,
あそこ,,遠處的那邊,,,
あたま,頭,頭,,,
あちら,,（尊）遠處的那邊,,,
あと,後,之後,,,
あなた,,你,,,
あに,兄,哥哥,,,
あね,姉,姊姊,,,
あめ,雨,雨,,,
いえ,家,家,,,
いくつ,,幾個,,,
いくら,,多少（錢）,,,
いしゃ,医者,醫生,,,
いけ,池,池塘,,,
いす,椅子,椅子,,,
いちにち,一日,一天,,,
いつ,,何時,,,
いっしゅうかん,一週間,一星期,,,
いぬ,犬,狗,,,
いま,今,現在,,,
いみ,意味,意思;意義,,,
いもうと,妹,妹妹,,,
いりぐち,入口,入口,,,
いろ,色,顏色,,,
うえ,上,上面,,,
うしろ,後ろ,後面,,,
うた,歌,歌,,,
うみ,海,海洋,,,
うわぎ,上着,上衣,,,
え,絵,畫;繪畫,,,
えいがかん,映画館,電影院,,,
えいご,英語,英語,,,
えき,駅,車站,,,
えん,円,日元,,,
えんぴつ,鉛筆,鉛筆,,,
おかあさん,お母さん,母親,,,
おかし,お菓子,點心;糖果,,,
おかね,お金,金錢,,,
おきゃくさん,お客さん,客人;顧客,,,
おくさん,奥さん,對方的太太,,,
おさけ,お酒,酒,,,
おさら,お皿,盤子,,,
おじいさん,,爺爺,,,
おじさん,,叔叔;姨丈;姑丈;伯父,,,
おちゃ,お茶,茶,,,
おとうさん,お父さん,父親,,,
おとうと,弟,弟弟,,,
おとこ,男,男性,,,
おとこのこ,男の子,男孩子,,,
おとこのひと,男の人,男人,,,
おととい,一昨日,前天,,,
おととし,一昨年,前年,,,
おとな,大人,大人;成人,,,
おなか,お腹,肚子,,,
おにいさん,お兄さん,哥哥;令兄,,,
おねえさん,お姉さん,姐姐;令姊,,,
おばあさん,,外婆;奶奶,,,
おばさん,,伯母;阿姨;姑姑;嬸嬸,,,
おふろ,お風呂,浴室;洗澡,,,
おべんとう,お弁当,便當,,,
おまわりさん,お巡りさん,警察,,,
おんがく,音楽,音樂,,,
おんな,女,女性,,,
おんなのこ,女の子,女孩子,,,
おんなのひと,女の人,女人;女的,,,
がいこくじん,外国人,外國人,,,
かいしゃ,会社,公司,,,
かいだん,階段,樓梯,,,
かいもの,買い物,買東西,,,
かお,顔,臉,,,
かぎ,,鑰匙,,,
がくせい,学生,學生,,,
かさ,傘,雨傘,,,
かぜ,風邪,感冒,,,
かぞく,家族,家族,,,
がっこう,学校,學校,,,
かど,角,角;轉角,,,
かばん,鞄,包包,,,
かびん,花瓶,花瓶,,,
かみ,紙,紙張,,,
からだ,体,身體,,,
かわ,川,河川,,,
かんじ,漢字,漢字,,,
き,木,樹,,,
きた,北,北方,,,
きっさてん,喫茶店,咖啡廳,,,
きって,切手,郵票,,,
きっぷ,切符,車票,,,
ぎゅうにく,牛肉,牛肉,,,
ぎゅうにゅう,牛乳,牛奶,,,
きょう,今日,今天,,,
きょうしつ,教室,教室,,,
きょうだい,兄弟,兄弟,,,
きょねん,去年,去年,,,
ぎんこう,銀行,銀行,,,
くすり,薬,藥,,,
くだもの,果物,水果,,,
くち,口,嘴巴,,,
くつ,靴,鞋子,,,
くつした,靴下,襪子,,,
くに,国,國家,,,
くるま,車,車子,,,
けいかん,警官,警察,,,
けさ,今朝,今天早上,,,
けっこん,結婚,結婚,,,
こうえん,公園,公園,,,
こうちゃ,紅茶,紅茶,,,
こうばん,交番,警察局,,,
こえ,声,聲音（人）,,,
ここ,,這邊,,,
ごご,午後,下午,,,
ごぜん,午前,上午,,,
こちら,,（尊）這邊,,,
ことし,今年,今年,,,
こども,子供,小孩子,,,
ごはん,ご飯,吃飯,,,
これ,,這個,,,
こんげつ,今月,這個月,,,
こんしゅう,今週,這週,,,
こんばん,今晩,今晚,,,
さいふ,財布,錢包,,,
さかな,魚,魚,,,
さき,先,先,,,
さくぶん,作文,作文,,,
ざっし,雑誌,雜誌,,,
さんぽ,散歩,散步,,,
しお,塩,鹽,,,
じかん,時間,時間,,,
しごと,仕事,工作,,,
じしょ,辞書,字典,,,
した,下,下方,,,
しゃしん,写真,照片,,,
しゅくだい,宿題,作業,,,
しょくどう,食堂,食堂,,,
しんぶん,新聞,報紙,,,
すし,寿司,壽司,,,
せ,背,背部,,,
せいと,生徒,學生,,,
せっけん,石鹸,肥皂,,,
せん,千,千,,,
せんげつ,先月,上個月,,,
せんしゅう,先週,上週,,,
せんせい,先生,老師,,,
そこ,,那邊,,,
そちら,,（尊）那邊,,,
そと,外,外面,,,
そば,側,旁邊,,,
そば,,蕎麥麵,,,
そら,,空,,,
それ,,那個,,,
だいがく,大学,大學,,,
だいどころ,台所,廚房,,,
たてもの,建物,建築物,,,
たばこ,,香菸,,,
たべもの,食べ物,食物,,,
たまご,卵,蛋,,,
だれ,誰,誰,,,
たんじょうび,誕生日,生日,,,
ちかく,近く,附近,,,
ちかてつ,地下鉄,地鐵,,,
ちち,父,爸爸,,,
つぎ,次,下個;下次,,,
つくえ,机,桌子,,,
て,手,手,,,
てがみ,手紙,信件,,,
でぐち,出口,出口,,,
てんき,天気,天氣,,,
でんき,電気,電器,,,
でんしゃ,電車,電車,,,
でんわ,電話,電話,,,
どうぶつ,動物,動物,,,
とけい,時計,時鐘,,,
どこ,何処,哪裏,,,
ところ,所,地方,,,
とし,年,年,,,
としょかん,図書館,圖書館,,,
どちら,,（尊）哪裏,,,
どなた,何方,哪位,,,
となり,隣,旁邊;隔壁（有生命）,,,
ともだち,友達,朋友,,,
とり,鳥,鳥,,,
とりにく,鳥肉,雞肉,,,
どれ,どれ,哪個,,,
なか,中,中間;裡面,,,
なつ,夏,夏天,,,
なつやすみ,夏休み,暑假,,,
なに,何,什麼,,,
なまえ,名前,名字,,,
にく,肉,肉,,,
にし,西,西方,,,
にほんじん,日本人,日本人,,,
にわ,庭,庭院,,,
ねこ,猫,貓,,,
のみもの,飲み物,飲料,,,
はいざら,灰皿,菸灰缸,,,
はがき,葉書,明信片,,,
はたち,二十歳,二十歲,,,
はな,鼻,鼻子,,,
はな,花,花,,,
はなし,話,話語;事情;故事,,,
はは,母,媽媽,,,
はる,春,春天,,,
ばんごう,番号,號碼,,,
ばんごはん,晩ご飯,晚飯;晚餐,,,
ひがし,東,東方,,,
ひこうき,飛行機,飛機,,,
ひと,人,人,,,
ひゃく,百,百,,,
ひゃくてん,百点,一百分,,,
びょういん,病院,醫院,,,
びょうき,病気,生病,,,
ひる,昼,中午,,,
ひるごはん,昼ご飯,中餐,,,
ふく,服,衣服,,,
へや,部屋,房間,,,
べんきょう,勉強,讀書,,,
ほう,方,方向;方面,,,
ほん,本,書本,,,
ほか,,其他,,,
まいあさ,毎朝,每天早上,,,
まいしゅう,毎週,每週;每星期,,,
まいつき,毎月,每個月,,,
まいとし,毎年,每年,,,
まいにち,毎日,每天,,,
まいばん,毎晩,每天晚上,,,
まえ,前,前面;前方,,,
まち,町,城;鎮,,,
まど,窓,窗戶,,,
みぎ,右,右邊;右方,,,
みせ,店,店;商店,,,
みどり,緑,綠色,,,
みなさん,皆さん,大家;各位,,,
みなみ,南,南方,,,
みみ,耳,耳朵,,,
みんな,皆,大家;各位,,,
め,目,眼睛,,,
めがね,,眼鏡,,,
もの,物,物品,,,
もん,門,門,,,
もんだい,問題,問題,,,
やおや,八百屋,蔬菜店,,,
やさい,野菜,蔬菜,,,
やすみ,休み,休息,,,
やま,山,山,,,
ゆうがた,夕方,傍晚,,,
ゆうはん,夕飯,晚餐,,,
ゆき,雪,雪,,,
ようふく,洋服,西裝;洋裝,,,
よこ,横,旁邊（無生命）,,,
よる,夜,晚上;夜晚,,,
らいげつ,来月,下個月,,,
らいしゅう,来週,下週,,,
らいねん,来年,明年,,,
りゅうがくせい,留学生,留學生,,,
りょうり,料理,料理;做菜,,,
わたし,私,我,,,