な形容詞,,,,,
いやな,嫌な,討厭;不喜歡,嫌な所,いやなところ,不喜歡的地方
いろいろな,色々な,各種;各式各樣,色々な花が咲く,いろいろなはながさく,各式各樣的花開了
おおきな,大きな,大的,大きな声にする,おおきなこえにする,發生巨大聲響
おなじな,同じな,相同的,同じ理由で,おなじりゆうで,相同的理由
きらいな,嫌いな,討厭,納豆が嫌いです,なっとうが嫌いです,不喜歡納豆
きれいな,綺麗な,漂亮;乾淨,綺麗な花を咲く,きれいなはなをさく,漂亮的花開了
げんきな,元気な,精神;朝氣,元気になる,げんきになる,變得有精神了
しずかな,静かな,安靜,静かな町,しずかなまち,安靜的市區
じょうずな,上手な,擅長;拿手,英語を上手にする,えいごをじょうずにする,流利的英文
じょうぶな,丈夫な,堅固;結實,丈夫な靴,じょうぶなくつ,堅固的鞋子
すきな,好きな,喜歡,お酒が好きです,おさけがすきです,喜歡酒
だいじょうぶな,大丈夫な,不要緊;沒問題,時間は大丈夫ですか,じかんはだいじょうぶですか,時間不要緊吧？
だいすきな,大好きな,非常喜歡,ゲームが大好きです,ゲームがだいすきです,非常喜歡遊戲
たいへんな,大変な,辛苦,この仕事は大変です,このしごとはたいへんです,這項工作很辛苦
ちいさな,小さな,小的,小さいな家に住む,ちいさいないえにすむ,住在小小的家
にぎやかな,賑やかな,熱鬧,賑やかな街です,にぎやかなまちです,熱鬧的街道
ひまな,暇な,閒暇;空閑,明日は暇です,あしたはひまです,明天有空
べんりな,便利な,方便,近くにスーパーがあって便利です,ちかくにスーパーがあってべんりです,附近有超市很便利
ふべんな,不便な,不方便,不便な方法で,ふべんなほうほうで,使用不方便的方式
どんな,,怎麼樣的,どんな仕事ですか,どんなしごとですか,什麼樣的工作
こんな,,這樣的,こんなことをしてはいけない,,不能做這種事情
そんな,,那樣的,そんな物は欲しくない,そんなものはほしくない,我不想要那種東西
あんな,,那樣的,あんなまずい店に行きたくない,あんなまずいみせにいきたくない,不想去那間不好吃的店